Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1961","1961","tonnes","30","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1962","1962","tonnes","153","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1963","1963","tonnes","173","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1964","1964","tonnes","218","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1965","1965","tonnes","224","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1966","1966","tonnes","236","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1967","1967","tonnes","199","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1968","1968","tonnes","175","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1969","1969","tonnes","295","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1970","1970","tonnes","251","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1971","1971","tonnes","146","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1972","1972","tonnes","275","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1973","1973","tonnes","815","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1974","1974","tonnes","1125","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1975","1975","tonnes","1545","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1976","1976","tonnes","1786","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1977","1977","tonnes","1608","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1978","1978","tonnes","1493","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1979","1979","tonnes","1191","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1980","1980","tonnes","1180","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1981","1981","tonnes","1146","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1982","1982","tonnes","1454","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1983","1983","tonnes","2097","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1984","1984","tonnes","2470","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1985","1985","tonnes","2648","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1986","1986","tonnes","3604","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1987","1987","tonnes","3389","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1988","1988","tonnes","3169","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1989","1989","tonnes","3711","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1990","1990","tonnes","4125","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1991","1991","tonnes","4164","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01270","Mushrooms and truffles","1992","1992","tonnes","4314","A","Official figure"
