Area,Item,Year,Export Quantity,Export Value,Import Quantity,Import Value,Export Unit Price (USD),import Unit Price (USD)
Austria,Mushrooms and truffles,1961,1088.0,1012.0,30.0,23.0,930.1470588235294,766.6666666666667
Austria,Mushrooms and truffles,1962,1601.0,1192.0,153.0,118.0,744.5346658338539,771.2418300653595
Austria,Mushrooms and truffles,1963,946.0,760.0,173.0,132.0,803.3826638477801,763.0057803468208
Austria,Mushrooms and truffles,1964,1796.0,1998.0,218.0,168.0,1112.4721603563473,770.6422018348625
Austria,Mushrooms and truffles,1965,2132.0,2473.0,224.0,180.0,1159.9437148217635,803.5714285714286
Austria,Mushrooms and truffles,1966,1760.0,1562.0,236.0,186.0,887.5,788.135593220339
Austria,Mushrooms and truffles,1967,2202.0,1766.0,199.0,154.0,801.9981834695731,773.8693467336684
Austria,Mushrooms and truffles,1968,768.0,863.0,175.0,135.0,1123.6979166666667,771.4285714285714
Austria,Mushrooms and truffles,1969,1450.0,2386.0,295.0,247.0,1645.5172413793105,837.2881355932203
Austria,Mushrooms and truffles,1970,3007.0,5112.0,251.0,249.0,1700.0332557366144,992.0318725099602
Austria,Mushrooms and truffles,1971,686.0,1606.0,146.0,121.0,2341.1078717201167,828.7671232876712
Austria,Mushrooms and truffles,1972,1943.0,4512.0,275.0,348.0,2322.1821924858464,1265.4545454545455
Austria,Mushrooms and truffles,1973,866.0,2285.0,815.0,883.0,2638.5681293302537,1083.435582822086
Austria,Mushrooms and truffles,1974,1003.0,2567.0,1125.0,1344.0,2559.322033898305,1194.6666666666667
Austria,Mushrooms and truffles,1975,1602.0,4655.0,1545.0,2051.0,2905.7428214731585,1327.508090614887
Austria,Mushrooms and truffles,1976,143.0,654.0,1786.0,2640.0,4573.426573426574,1478.1634938409854
Austria,Mushrooms and truffles,1977,1150.0,5864.0,1608.0,2951.0,5099.130434782609,1835.1990049751244
Austria,Mushrooms and truffles,1978,791.0,4552.0,1493.0,3357.0,5754.740834386852,2248.492967180174
Austria,Mushrooms and truffles,1979,851.0,7079.0,1191.0,3000.0,8318.448883666275,2518.8916876574303
Austria,Mushrooms and truffles,1980,795.0,5437.0,1180.0,3762.0,6838.993710691824,3188.135593220339
Austria,Mushrooms and truffles,1981,569.0,3395.0,1146.0,2729.0,5966.608084358523,2381.3263525305406
Austria,Mushrooms and truffles,1982,1786.0,9279.0,1454.0,2892.0,5195.4087346024635,1988.9958734525449
Austria,Mushrooms and truffles,1983,346.0,2956.0,2097.0,3981.0,8543.35260115607,1898.4263233190272
Austria,Mushrooms and truffles,1984,451.0,3091.0,2470.0,4693.0,6853.658536585366,1900.0
Austria,Mushrooms and truffles,1985,757.0,4222.0,2648.0,4828.0,5577.278731836196,1823.2628398791542
Austria,Mushrooms and truffles,1986,621.0,4908.0,3604.0,8099.0,7903.381642512077,2247.225305216426
Austria,Mushrooms and truffles,1987,1114.0,7202.0,3389.0,8815.0,6464.9910233393175,2601.0622602537624
Austria,Mushrooms and truffles,1988,819.0,6342.0,3169.0,9226.0,7743.589743589743,2911.32849479331
Austria,Mushrooms and truffles,1989,1283.0,9246.0,3711.0,10072.0,7206.547155105222,2714.093236324441
Austria,Mushrooms and truffles,1990,618.0,4925.0,4125.0,14330.0,7969.25566343042,3473.939393939394
Austria,Mushrooms and truffles,1991,849.0,6388.0,4164.0,13430.0,7524.14605418139,3225.2641690682035
Austria,Mushrooms and truffles,1992,325.0,2479.0,4314.0,14206.0,7627.692307692308,3292.999536393139
Austria,Mushrooms and truffles,1993,399.0,3178.0,5038.0,15362.0,7964.912280701754,3049.2258832870184
Austria,Mushrooms and truffles,1994,861.0,8170.0,5826.0,17937.0,9488.966318234612,3078.784757981462
Austria,Mushrooms and truffles,1995,968.0,7975.0,6635.0,19511.0,8238.636363636364,2940.617935192163
Austria,Mushrooms and truffles,1996,1549.0,9272.0,7075.0,21547.0,5985.797288573272,3045.512367491166
Austria,Mushrooms and truffles,1997,1703.0,7166.0,9139.0,21193.0,4207.8684674104525,2318.96268738374
Austria,Mushrooms and truffles,1998,3871.0,10569.0,13355.0,28681.0,2730.302247481271,2147.5851740921003
Austria,Mushrooms and truffles,1999,5802.0,13735.0,13092.0,27452.0,2367.287142364702,2096.853040024442
Austria,Mushrooms and truffles,2000,6018.0,12959.0,14187.0,26073.0,2153.3732136922567,1837.809262000423
Austria,Mushrooms and truffles,2001,6643.0,14293.0,16899.0,31487.0,2151.588137889508,1863.2463459376295
Austria,Mushrooms and truffles,2002,5596.0,14247.0,14235.0,30052.0,2545.925661186562,2111.134527572884
Austria,Mushrooms and truffles,2003,5217.0,16986.0,13340.0,37392.0,3255.8941920644047,2802.998500749625
Austria,Mushrooms and truffles,2004,4455.0,20020.0,14114.0,45186.0,4493.827160493827,3201.5020546974633
Austria,Mushrooms and truffles,2005,4527.0,19505.0,13625.0,44170.0,4308.592887121714,3241.8348623853212
Austria,Mushrooms and truffles,2006,3810.0,22942.0,11620.0,46965.0,6021.522309711286,4041.738382099828
Austria,Mushrooms and truffles,2007,1715.0,13092.0,11142.0,42651.0,7633.819241982508,3827.9483037156706
Austria,Mushrooms and truffles,2008,1182.0,8902.0,11092.0,43123.0,7531.302876480541,3887.756941940137
Austria,Mushrooms and truffles,2009,2221.0,13949.0,11672.0,44933.0,6280.504277352544,3849.64016449623
Austria,Mushrooms and truffles,2010,2266.0,12565.0,13105.0,44386.0,5545.013239187996,3386.951545211751
Austria,Mushrooms and truffles,2011,1645.0,12227.0,12359.0,48040.0,7432.826747720365,3887.0458774981794
Austria,Mushrooms and truffles,2012,1429.0,9639.0,13420.0,46229.0,6745.276417074877,3444.78390461997
Austria,Mushrooms and truffles,2013,1747.0,10880.0,14769.0,49001.0,6227.819118488837,3317.8278827273343
Austria,Mushrooms and truffles,2014,2304.36,13437.0,13803.42,48683.0,5831.120137478519,3526.8795704253002
Austria,Mushrooms and truffles,2015,1936.86,10865.0,14771.4,45052.0,5609.5949113513625,3049.9478722395984
Austria,Mushrooms and truffles,2016,1859.6,9885.0,13717.5,43077.0,5315.659281565928,3140.295243302351
Austria,Mushrooms and truffles,2017,1688.92,8678.0,13669.14,43469.0,5138.1948227269495,3180.0830191219056
Austria,Mushrooms and truffles,2018,1706.85,9685.0,14852.2,55286.0,5674.195154817354,3722.4114945933934
Austria,Mushrooms and truffles,2019,1680.47,8302.0,15068.85,50207.0,4940.284563247187,3331.840186875574
Austria,Mushrooms and truffles,2020,1447.71,7245.0,13743.31,45299.0,5004.455312182688,3296.076418271872
Austria,Mushrooms and truffles,2021,1205.62,6792.0,12898.5,44792.0,5633.615898873609,3472.6518587432647
Belgium,Mushrooms and truffles,2000,23198.0,34246.0,5252.0,11328.0,1476.2479524096905,2156.892612338157
Belgium,Mushrooms and truffles,2001,29201.0,37788.0,7135.0,15176.0,1294.0652717372693,2126.97967764541
Belgium,Mushrooms and truffles,2002,28034.0,41794.0,6116.0,15633.0,1490.8325604622958,2556.0824068018314
Belgium,Mushrooms and truffles,2003,25688.0,45242.0,11474.0,22121.0,1761.211460604173,1927.9240020916855
Belgium,Mushrooms and truffles,2004,28234.0,57678.0,17494.0,27910.0,2042.8561309059999,1595.4041385617925
Belgium,Mushrooms and truffles,2005,31508.0,69106.0,22799.0,34408.0,2193.2842452710424,1509.1889995175227
Belgium,Mushrooms and truffles,2006,33032.0,77089.0,31468.0,46748.0,2333.7672559941875,1485.572645226897
Belgium,Mushrooms and truffles,2007,36918.0,93738.0,33876.0,58213.0,2539.0866244108565,1718.414216554493
Belgium,Mushrooms and truffles,2008,36501.0,102984.0,36201.0,65961.0,2821.402153365661,1822.0767382116517
Belgium,Mushrooms and truffles,2009,28579.0,68309.0,30451.0,48048.0,2390.181601875503,1577.8792157893008
Belgium,Mushrooms and truffles,2010,30463.0,66973.0,37486.0,52836.0,2198.5031021238883,1409.486208184389
Belgium,Mushrooms and truffles,2011,32144.0,72409.0,31687.0,60432.0,2252.644350423096,1907.1543535203712
Belgium,Mushrooms and truffles,2012,30255.0,66406.0,24596.0,56616.0,2194.8768798545693,2301.837697186534
Belgium,Mushrooms and truffles,2013,28199.0,69351.0,22793.0,58477.0,2459.3425298769457,2565.5683762558683
Belgium,Mushrooms and truffles,2014,26115.37,66341.0,23217.49,58398.0,2540.3048090071097,2515.258970715611
Belgium,Mushrooms and truffles,2015,25539.9,60127.0,22057.84,50902.0,2354.237878770081,2307.66022421053
Belgium,Mushrooms and truffles,2016,25812.96,59789.0,21654.82,50396.0,2316.239594374299,2327.2416949205767
Belgium,Mushrooms and truffles,2017,25147.83,56934.0,20705.28,47849.0,2263.9726767677366,2310.956432368942
Belgium,Mushrooms and truffles,2018,28127.67,63173.0,21506.5,50714.0,2245.9378967401144,2358.0777904354495
Belgium,Mushrooms and truffles,2019,25288.66,61137.0,22390.02,49428.0,2417.5658180385994,2207.590703358014
Belgium,Mushrooms and truffles,2020,27389.91,62955.0,23014.1,48821.0,2298.474146136296,2121.3516930924957
Belgium,Mushrooms and truffles,2021,24309.63,61040.0,21587.16,53078.0,2510.939080520765,2458.7764207982896
Belgium-Luxembourg,Mushrooms and truffles,1961,24.0,18.0,1722.0,1439.0,750.0,835.6562137049942
Belgium-Luxembourg,Mushrooms and truffles,1962,73.0,42.0,1759.0,1559.0,575.3424657534247,886.2990335417851
Belgium-Luxembourg,Mushrooms and truffles,1963,33.0,20.0,2197.0,1738.0,606.0606060606061,791.0787437414656
Belgium-Luxembourg,Mushrooms and truffles,1964,38.0,22.0,2891.0,2260.0,578.9473684210526,781.7364233829124
Belgium-Luxembourg,Mushrooms and truffles,1965,134.0,124.0,3218.0,2507.0,925.3731343283582,779.0553138595401
Belgium-Luxembourg,Mushrooms and truffles,1966,81.0,69.0,4154.0,3245.0,851.8518518518518,781.1747713047665
Belgium-Luxembourg,Mushrooms and truffles,1967,90.0,58.0,4309.0,3325.0,644.4444444444445,771.6407519145973
Belgium-Luxembourg,Mushrooms and truffles,1968,182.0,152.0,4072.0,2985.0,835.1648351648352,733.0550098231827
