Area,Item,Year,Export Quantity,Export Value,Import Quantity,Import Value,Export Unit Price (USD),import Unit Price (USD)
Belgium,Mushrooms and truffles,2000,23198.0,34246.0,5252.0,11328.0,1476.2479524096905,2156.892612338157
Belgium,Mushrooms and truffles,2001,29201.0,37788.0,7135.0,15176.0,1294.0652717372693,2126.97967764541
Belgium,Mushrooms and truffles,2002,28034.0,41794.0,6116.0,15633.0,1490.8325604622958,2556.0824068018314
Belgium,Mushrooms and truffles,2003,25688.0,45242.0,11474.0,22121.0,1761.211460604173,1927.9240020916855
Belgium,Mushrooms and truffles,2004,28234.0,57678.0,17494.0,27910.0,2042.8561309059999,1595.4041385617925
Belgium,Mushrooms and truffles,2005,31508.0,69106.0,22799.0,34408.0,2193.2842452710424,1509.1889995175227
Belgium,Mushrooms and truffles,2006,33032.0,77089.0,31468.0,46748.0,2333.7672559941875,1485.572645226897
Belgium,Mushrooms and truffles,2007,36918.0,93738.0,33876.0,58213.0,2539.0866244108565,1718.414216554493
Belgium,Mushrooms and truffles,2008,36501.0,102984.0,36201.0,65961.0,2821.402153365661,1822.0767382116517
Belgium,Mushrooms and truffles,2009,28579.0,68309.0,30451.0,48048.0,2390.181601875503,1577.8792157893008
Belgium,Mushrooms and truffles,2010,30463.0,66973.0,37486.0,52836.0,2198.5031021238883,1409.486208184389
Belgium,Mushrooms and truffles,2011,32144.0,72409.0,31687.0,60432.0,2252.644350423096,1907.1543535203712
Belgium,Mushrooms and truffles,2012,30255.0,66406.0,24596.0,56616.0,2194.8768798545693,2301.837697186534
Belgium,Mushrooms and truffles,2013,28199.0,69351.0,22793.0,58477.0,2459.3425298769457,2565.5683762558683
Belgium,Mushrooms and truffles,2014,26115.37,66341.0,23217.49,58398.0,2540.3048090071097,2515.258970715611
Belgium,Mushrooms and truffles,2015,25539.9,60127.0,22057.84,50902.0,2354.237878770081,2307.66022421053
Belgium,Mushrooms and truffles,2016,25812.96,59789.0,21654.82,50396.0,2316.239594374299,2327.2416949205767
Belgium,Mushrooms and truffles,2017,25147.83,56934.0,20705.28,47849.0,2263.9726767677366,2310.956432368942
Belgium,Mushrooms and truffles,2018,28127.67,63173.0,21506.5,50714.0,2245.9378967401144,2358.0777904354495
Belgium,Mushrooms and truffles,2019,25288.66,61137.0,22390.02,49428.0,2417.5658180385994,2207.590703358014
